"slug","pageUrl","auditResult","status","statusLabel","publicationState","verifiedAt","applicationStart","applicationEnd","sourceUrl","grantSummary","cofinancingSummary","errorCount","warningCount","issueCategories"
"program-regional-nord-est","/por-adr-nord-est","PASS","ghid_aprobat_nedeschis","Ghid aprobat – depunerea nu este deschisă","public","2026-07-20","","","https://regionordest.ro/","null","null","0","0",""
"fonduri-regionale","/fonduri-regionale","PASS","calendar_estimativ","Calendar estimativ – depunerea nu este confirmată","public","2026-07-20","","","https://mfe.gov.ro/","null","null","0","0",""
"dr12-afir","/dr12-afir","PASS","consultare_publica","Ghid consultativ – depunerea nu este deschisă. Condițiile se pot modifica.","public","2026-07-22","","","https://www.afir.ro/comunicate/consultare-publica-pentru-consolidarea-exploatatiilor-tinerilor-fermieri/","null","null","0","0",""
"dr14-afir","/dr14","PASS","consultare_publica","Ghid consultativ – depunerea nu este deschisă. Condițiile se pot modifica.","public","2026-07-22","","","https://www.afir.ro/api/file?filename=Ghidul+Solicitantului+DR-14+VARIANTA+CONSULTATIV%C4%82&filetype=pdf&url=%2Fmedia%2Fbkmpo5fo%2Fgs-consultativ-dr-14.pdf","null","null","0","0",""
"start-up-nation","/start-up-nation-2026","PASS","calendar_estimativ","Calendar estimativ – depunerea nu este confirmată","public","2026-05-20","","","https://economie.gov.ro/participa-la-definitivarea-procedurii-de-implementare-a-programului-de-succes-start-up-nation-editia-2024/","null","null","0","0",""
"femeia-antreprenor","/femeia-antreprenor-2026","PASS","calendar_estimativ","Calendar estimativ – depunerea nu este confirmată","public","2026-05-20","","","https://economie.gov.ro/pe-data-de-30-iulie-se-da-startul-inscrierilor-in-cadrul-programului-femeia-antreprenor/","null","null","0","0",""
"digitalizare-imm","/digitalizare-imm","PASS","apel_inchis","Apel închis – depunerea nu este deschisă","public","2026-07-22","","","https://mfe.gov.ro/pnrr-ordinul-nr-607-28-04-2026-pentru-modificarea-ghidului-solicitantului-digitalizarea-imm-urilor-grant-de-pana-la-100-000-euro-pe-intreprindere-care-sa-sprijine-imm-urile-in-adoptarea-tehnologii/","null","null","0","0",""
"modernizare-microintreprinderi-ne-2","/investitii-modernizarea-microintreprinderilor-apel-2","PASS","consultare_publica","Consultare publică – depunerea nu este deschisă","public","2026-06-02","","","https://adrnordest.ro/comentariiGhid/P1Microintreprinderi/Apel2/","{""minimum"":{""amount"":100000,""currency"":""EUR"",""unit"":""proiect""},""maximum"":{""amount"":300000,""currency"":""EUR"",""unit"":""proiect""},""budget"":null}","{""intensity"":[{""rate"":90,""scope"":""maximum indicat în varianta consultativă""}],""ownContribution"":""Diferența față de intensitatea aplicabilă și cheltuielile neeligibile.""}","0","0",""
"fondul-modernizare-autoconsum","/fondul-de-modernizare-finantari-energie-fotovoltaice-autoconsum","PASS","calendar_estimativ","Calendar estimativ – depunerea nu este confirmată","public","2026-05-20","","","https://energie.gov.ro/category/fondul-pentru-modernizare/","null","null","0","0",""
"fondul-modernizare-regenerabile","/fondul-modernizare-energie-regenerabila-2026","PASS","calendar_estimativ","Calendar estimativ – depunerea nu este confirmată","public","2026-05-20","","","https://energie.gov.ro/category/fondul-pentru-modernizare/","null","null","0","0",""
"afir-energie-autoconsum","/afir-autoconsum-agroalimentar","PASS","apel_deschis","Apel deschis","public","2026-07-20","2026-06-15","2026-08-14","https://www.afir.ro/media/hkfp4w0v/ghidul-solicitantului-schem%C4%83-energie-autoconsum-v7-iunie-2026.pdf","{""minimum"":null,""maximum"":{""amount"":20000000,""currency"":""EUR"",""unit"":""beneficiar""},""budget"":{""amount"":265000000,""currency"":""EUR""}}","{""intensity"":[{""rate"":100,""scope"":""costuri eligibile în limitele costului unitar""}],""ownContribution"":""Diferențele peste costurile unitare și cheltuielile neeligibile.""}","0","0",""
"autoconsum-institutii-publice","/autoconsum-public-fotovoltaice-institutii-publice","PASS","ghid_aprobat_nedeschis","Ghid aprobat – depunerea nu este deschisă","public","2026-05-20","","","https://legislatie.just.ro/public/DetaliiDocument/276306","null","null","0","0",""
"pro-infra","/pro-infra","PASS","ghid_aprobat_nedeschis","Schemă aprobată – depunerea nu este deschisă","public","2026-07-22","","","https://legislatie.just.ro/Public/DetaliiDocument/306915","null","null","0","0",""
"apeluri-gal","/apeluri-gal","PASS","calendar_estimativ","Calendar estimativ – depunerea nu este confirmată","public","2026-05-26","","","https://www.afir.ro/domenii-de-interventie/detalii-si-anexe-dr-36/","null","null","0","0",""
"gal-afir-leader","/gal-afir","PASS","ghid_aprobat_nedeschis","Ghid aprobat – depunerea nu este deschisă","public","2026-05-26","","","https://www.afir.ro/finantare/leader/","null","null","0","0",""
"e-move-ro","/e-move","PASS","consultare_publica","Consultare publică – depunerea nu este deschisă","public","2026-05-27","","","https://fonduri.mt.ro/transparenta/consultare-publica/fondul-pentru-modernizare/comunicat-fm-consultare-publica-ghidul-solicitantului-promovarea-infrastructurii-pentru-o-mobilitate-cu-emisii-zero-in-sprijinul-intreprinderilor-si-comunitatilor-e-move-ro","{""minimum"":null,""maximum"":{""amount"":25000000,""currency"":""EUR"",""unit"":""beneficiar""},""budget"":null}","{""intensity"":[{""rate"":100,""scope"":""maximum indicat în varianta consultativă""}],""ownContribution"":""Diferența față de ajutorul aplicabil și cheltuielile neeligibile.""}","0","0",""
"pocidif-21","/pocidif-21","PASS","ghid_aprobat_nedeschis","Ghid aprobat – depunerea nu este deschisă","public","2026-07-13","","","https://mfe.gov.ro/ghiduri_pocidif/pocidif-ghidul-solicitantului-dezvoltarea-de-noi-servicii-aplicatii-produse-prin-inovare-si-adoptarea-de-tehnologii-avansate-2/","{""minimum"":{""amount"":200000,""currency"":""EUR"",""unit"":""proiect""},""maximum"":{""currency"":""EUR"",""variants"":[{""amount"":1500000,""scope"":""soluție software inovatoare""},{""amount"":3000000,""scope"":""produs hardware inovator""}]},""budget"":null}","{""intensity"":[{""rate"":75,""scope"":""ajutor regional, în funcție de categorie și regiune""},{""rate"":100,""scope"":""ajutor de minimis pentru cheltuielile încadrate""}],""ownContribution"":""Depinde de tipul ajutorului, dimensiunea întreprinderii, regiune și cheltuielile neeligibile.""}","0","0",""
"pnrr","/pnrr","PASS","calendar_estimativ","Calendar estimativ – depunerea nu este confirmată","pending_validation","DE_VALIDAT_UMAN","","","DE_VALIDAT_UMAN","null","null","0","0",""
"programul-tranzitie-justa","/programul-tranzitie-justa","PASS","calendar_estimativ","Calendar estimativ – depunerea nu este confirmată","pending_validation","DE_VALIDAT_UMAN","","","DE_VALIDAT_UMAN","null","null","0","0",""
"fondul-de-modernizare","/fondul-de-modernizare","PASS","calendar_estimativ","Calendar estimativ – depunerea nu este confirmată","pending_validation","DE_VALIDAT_UMAN","","","DE_VALIDAT_UMAN","null","null","0","0",""
