source_url,target_url,target_scope,link_type,anchor_text,explanation,context,source_outgoing_same_type,target_incoming_same_type,source_priority,target_priority
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/afir,internal,contextual,AFIR,,Resurse utile,27,10,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/blog,internal,contextual,Blog,,Resurse utile,27,2,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/consultanta-fonduri-europene,internal,contextual,Consultanță fonduri europene,,Resurse utile,27,72,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/consultanta-fonduri-europene-bucuresti,internal,contextual,Consultanță București,,Resurse utile,27,2,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/despre-faber,internal,contextual,Despre FABER,,Resurse utile,27,1,no,yes
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/fonduri-europene,internal,contextual,Programe relevante,,Resurse utile,27,32,no,yes
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/fonduri-europene-agricultura,internal,contextual,Fonduri agricultura,,Resurse utile,27,5,no,yes
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/fonduri-europene-bucuresti,internal,contextual,Fonduri europene București,,Resurse utile,27,2,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/fonduri-europene-digitalizare,internal,contextual,Digitalizare și PNRR,,Resurse utile,27,10,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/fonduri-europene-imm,internal,contextual,Fonduri europene IMM,,Resurse utile,27,25,no,yes
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/fonduri-regionale,internal,contextual,Fonduri regionale,,Resurse utile,27,10,no,yes
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/gdpr,internal,contextual,Politica GDPR,,Verificare inițială a proiectului,27,2,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/glosar-fonduri-europene,internal,contextual,Glosar fonduri europene,,Resurse utile,27,14,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/metodologie-verificare-eligibilitate,internal,contextual,Metodologia FABER,,"Metodă clară, concluzii prudente",27,32,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/metodologie-verificare-eligibilitate,internal,contextual,Vezi metodologia,,Verificare inițială a proiectului,27,32,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/metodologie-verificare-eligibilitate,internal,contextual,Vezi metodologia,,Verificare inițială a proiectului,27,32,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/metodologie-verificare-eligibilitate,internal,contextual,Metodologie eligibilitate,,Resurse utile,27,32,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/pocidif-21,internal,contextual,PoCIDIF 2.1,,Resurse utile,27,12,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/politica-de-confidentialitate,internal,contextual,Politica de confidențialitate,,Notificări Programe de Finanțare,27,7,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/politica-de-confidentialitate,internal,contextual,Politica de confidențialitate,,Verificare inițială a proiectului,27,7,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/politica-de-confidentialitate,internal,contextual,Politica de confidențialitate,,Verificare inițială a proiectului,27,7,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/politica-de-confidentialitate,internal,contextual,Politica de confidențialitate,,Verificare inițială a proiectului,27,7,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/start-up-nation-2026,internal,contextual,Start-Up Nation,,Resurse utile,27,28,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/studii-de-caz-fonduri-europene,internal,contextual,Studii de caz,,Resurse utile,27,4,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/surse-oficiale-fonduri-europene,internal,contextual,Consultă sursele oficiale,,Verificare inițială a proiectului,27,35,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/surse-oficiale-fonduri-europene,internal,contextual,Consultă sursele oficiale,,Verificare inițială a proiectului,27,35,no,no
https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/surse-oficiale-fonduri-europene,internal,contextual,Surse oficiale,,Resurse utile,27,35,no,no
https://atelierdeconsultanta.ro/acte-necesare-fonduri-europene-nerambursabile,https://atelierdeconsultanta.ro/consultanta-afir,internal,contextual,Consultanță AFIR,,Pe scurt,6,21,no,yes
https://atelierdeconsultanta.ro/acte-necesare-fonduri-europene-nerambursabile,https://atelierdeconsultanta.ro/contact,internal,contextual,Contact,,Pe scurt,6,46,no,no
https://atelierdeconsultanta.ro/acte-necesare-fonduri-europene-nerambursabile,https://atelierdeconsultanta.ro/gal-afir,internal,contextual,Gal Afir,,Pe scurt,6,15,no,no
