"group","url","primary_intent","query_cluster","page_type","gsc_window","gsc_clicks","gsc_impressions","gsc_ctr_percent","gsc_position","backlinks","conversions","unique_content","pair_token_similarity_percent","canonical_current","canonical_state","internal_links_total","internal_links_contextual","internal_linking_pages","indexation_status","title","h1","recommendation","target_or_keep","content_to_migrate","risks","approval_status"
"fonduri-generice","/fonduri-europene","hub editorial pentru programe, categorii de beneficiari și trasee de eligibilitate","fonduri europene; programe fonduri; dosar fonduri europene","hub editorial","2026-04-11..2026-07-10","0","87","0","7.17","DE_VALIDAT_UMAN — export Ahrefs/Search Console Links necesar","DE_VALIDAT_UMAN — export analytics/CRM necesar","525 cuvinte; 7/7 H2 unice față de pereche: Patru puncte de intrare | Programe și huburi urmărite | Ce trebuie să se potrivească simultan | De la investiție la program","16","https://atelierdeconsultanta.ro/fonduri-europene","self-canonical","503","26","177","indexabil local; în sitemap; GSC URL Inspection: DE_VALIDAT_UMAN","Fonduri europene 2026: programe pentru firme și fermieri","Ce program de fonduri europene se potrivește investiției tale?","KEEP_PRIMARY","KEEP","Primește numai pasajele generale utile din sursa consolidată; nu importa explicațiile distincte despre cash-flow și obligațiile grantului.","Diluează hub-ul dacă absoarbe integral ghidul financiar; poate concura și cu pagina 2026 dacă promisiunea temporală nu este delimitată.","APROBARE_UMANĂ_NECESARĂ"
"fonduri-generice","/fonduri-nerambursabile","ghid despre grant, contribuție proprie, cash-flow, prefinanțare, rambursare și obligații","fonduri nerambursabile; grant; cofinanțare; contribuție proprie; obligații beneficiar","ghid financiar evergreen","2026-04-11..2026-07-10","0","185","0","37.63","DE_VALIDAT_UMAN — export Ahrefs/Search Console Links necesar","DE_VALIDAT_UMAN — export analytics/CRM necesar","1230 cuvinte; 17/17 H2 unice față de pereche: Pe scurt | Ce verifici concret pentru Fonduri nerambursabile | Grantul nu acoperă tot proiectul | Pagina evergreen, diferită de hubul Fonduri europene","16","https://atelierdeconsultanta.ro/fonduri-nerambursabile","self-canonical","2","1","2","indexabil local; în sitemap; GSC URL Inspection: DE_VALIDAT_UMAN","Fonduri nerambursabile | grant, cofinanțare","Fonduri nerambursabile: grant, cofinanțare și obligații","KEEP_UNIQUE_CONDITIONAL","KEEP","Dacă rolul distinct nu este aprobat, mută în /fonduri-europene definițiile și exemplele unice despre grant, cash-flow, contribuție și obligații înainte de 301.","Suprapunere lexicală mare cu hub-ul; poziție GSC slabă. Păstrarea cere eliminarea listelor generale de programe și un KPI propriu.","APROBARE_UMANĂ_NECESARĂ"
"digitalizare-imm","/digitalizare-imm","pagină principală pentru programul și pregătirea proiectelor de digitalizare IMM","digitalizare IMM; digitalizare IMM 2026; eligibilitate și buget IT","program/hub principal","2026-04-11..2026-07-10","1","248","0.4","28.87","DE_VALIDAT_UMAN — export Ahrefs/Search Console Links necesar","DE_VALIDAT_UMAN — export analytics/CRM necesar","66 cuvinte; 0/0 H2 unice față de pereche: niciun exemplu","74","https://atelierdeconsultanta.ro/digitalizare-imm","self-canonical","5","0","4","noindex local; absent din sitemap; GSC URL Inspection: DE_VALIDAT_UMAN","Digitalizare IMM – informații în validare editorială | FABER","Digitalizare IMM","KEEP_PRIMARY","KEEP","Primește numai exemplele, FAQ-urile și explicațiile unice validate din /granturi-digitalizare-imm.","Ținta este momentan afectată de poarta factuală P0.02; nu se redirecționează către o pagină noindex/pending_validation.","APROBARE_UMANĂ_NECESARĂ"
"digitalizare-imm","/granturi-digitalizare-imm","variantă lexicală pentru granturi de digitalizare IMM","granturi digitalizare IMM; finanțare digitalizare; software ERP CRM cloud","ghid/program secundar","2026-04-11..2026-07-10","2","65","3.08","6.46","DE_VALIDAT_UMAN — export Ahrefs/Search Console Links necesar","DE_VALIDAT_UMAN — export analytics/CRM necesar","48 cuvinte; 0/0 H2 unice față de pereche: niciun exemplu","74","https://atelierdeconsultanta.ro/granturi-digitalizare-imm","self-canonical","5","3","5","noindex local; absent din sitemap; GSC URL Inspection: DE_VALIDAT_UMAN","Digitalizare IMM – informații în validare editorială | FABER","Digitalizare IMM","MERGE_301_CONDITIONAL","/digitalizare-imm","Migrează secțiunile unice despre tipuri de grant, cheltuieli IT, ERP/CRM/cloud, exemple și FAQ validate; deduplică statutul, eligibilitatea și CTA-urile.","Are 2 clicuri și poziție medie bună în exportul GSC; un 301 fără maparea query/backlink poate pierde vizibilitate. Ținta trebuie validată factual și scoasă din noindex înainte.","APROBARE_UMANĂ_NECESARĂ"
"consultanta-comerciala","/consultanta-fonduri-europene","landing comercial principal pentru serviciile FABER","consultanta fonduri europene; servicii consultanță; consultant proiecte","landing comercial","2026-04-11..2026-07-10","0","111","0","6.41","DE_VALIDAT_UMAN — export Ahrefs/Search Console Links necesar","DE_VALIDAT_UMAN — export analytics/CRM necesar","574 cuvinte; 7/7 H2 unice față de pereche: Livrabile clare pentru fiecare etapă | Patru decizii înainte de depunere | Când recomandăm să nu depui încă | Alege etapa de care are nevoie proiectul","19","https://atelierdeconsultanta.ro/consultanta-fonduri-europene","self-canonical","510","120","177","indexabil local; în sitemap; GSC URL Inspection: DE_VALIDAT_UMAN","Consultanță fonduri europene: eligibilitate și dosar | FABER","Consultanță pentru fonduri europene, de la eligibilitate la dosar","KEEP_PRIMARY","KEEP","Primește criteriile de selecție, dovezile și FAQ-urile unice din pagina «firma», fără dublarea promisiunilor comerciale.","Poate deveni prea generală dacă importă tot conținutul; trebuie păstrat traseul comercial și CTA-ul principal.","APROBARE_UMANĂ_NECESARĂ"
"consultanta-comerciala","/firma-consultanta-fonduri-europene","alegerea și evaluarea unei firme de consultanță, suprapusă cu oferta comercială","firma consultanta fonduri europene; alegere consultant; criterii firmă consultanță","landing comercial/ghid hibrid","2026-04-11..2026-07-10","0","20","0","20.3","DE_VALIDAT_UMAN — export Ahrefs/Search Console Links necesar","DE_VALIDAT_UMAN — export analytics/CRM necesar","1495 cuvinte; 17/17 H2 unice față de pereche: Pe scurt | Ce verifici concret pentru Firmă consultanță fonduri europene | Situatii frecvente cautate de beneficiari | Firmă de consultanță fonduri europene","19","https://atelierdeconsultanta.ro/firma-consultanta-fonduri-europene","self-canonical","4","3","4","indexabil local; în sitemap; GSC URL Inspection: DE_VALIDAT_UMAN","Firmă consultanță fonduri europene - criterii și servicii","Firmă de consultanță pentru fonduri europene","MERGE_301_CONDITIONAL","/consultanta-fonduri-europene","Păstrează criteriile de alegere, întrebările pentru furnizor, limitele serviciului și eventualele dovezi unice; elimină oferta și CTA-urile duplicate.","Dacă primește un KPI distinct de tip ghid «cum alegi firma», poate rămâne doar după repoziționare profundă; există deja /cum-alegi-consultant-fonduri-europene.","APROBARE_UMANĂ_NECESARĂ"
"eligibilitate","/eligibilitate-fonduri-europene","ghid/checklist educațional despre criterii și autoevaluare","eligibilitate fonduri europene; criterii eligibilitate; checklist solicitant proiect","ghid evergreen","2026-04-11..2026-07-10","0","10","0","6.2","DE_VALIDAT_UMAN — export Ahrefs/Search Console Links necesar","DE_VALIDAT_UMAN — export analytics/CRM necesar","1399 cuvinte; 8/16 H2 unice față de pereche: Pe scurt | Ce verifici concret pentru Eligibilitate fonduri europene | Criterii generale de eligibilitate | Eligibilitatea se verifică prin solicitant, activitate, documente și investiție.","40","https://atelierdeconsultanta.ro/eligibilitate-fonduri-europene","self-canonical","6","4","6","indexabil local; în sitemap; GSC URL Inspection: DE_VALIDAT_UMAN","Eligibilitate fonduri europene | administrativ și tehnic","Eligibilitate fonduri europene: administrativ, tehnic și punctaj","KEEP_UNIQUE_CONDITIONAL","KEEP","Primește checklisturile, criteriile și explicațiile educaționale care sunt acum pe pagina de verificare; elimină descrierea serviciului și pașii comerciali.","Rolurile actuale sunt parțial inversate/duplicate. Fără rescriere, ambele pagini concurează pe aceeași intenție.","APROBARE_UMANĂ_NECESARĂ"
"eligibilitate","/verificare-eligibilitate-fonduri-europene","serviciu/proces de verificare și traseu către formular","verificare eligibilitate; analiză proiect; verificare documente; solicită evaluare","landing serviciu/proces","2026-04-11..2026-07-10","1","66","1.52","7.64","DE_VALIDAT_UMAN — export Ahrefs/Search Console Links necesar","DE_VALIDAT_UMAN — export analytics/CRM necesar","1774 cuvinte; 12/20 H2 unice față de pereche: Cum se stabilește eligibilitatea | Ce include verificarea inițială | Ce controlăm în documentele proiectului | Neconcordanțe care schimbă concluzia","40","https://atelierdeconsultanta.ro/verificare-eligibilitate-fonduri-europene","self-canonical","142","53","84","indexabil local; în sitemap; GSC URL Inspection: DE_VALIDAT_UMAN","Verificare eligibilitate fonduri europene | FABER","Verificare eligibilitate pentru fonduri europene","KEEP_UNIQUE_CONDITIONAL","KEEP","Păstrează procesul, datele necesare, limitele concluziei, livrabilul și CTA-ul; mută checklistul generic în /eligibilitate-fonduri-europene.","Dacă rămâne doar articol educațional, nu justifică existența separată; trebuie măsurat prin CTA și form_start/form_submit.","APROBARE_UMANĂ_NECESARĂ"
"privacy","/politica-de-confidentialitate","informarea legală canonică privind prelucrarea datelor","politica de confidențialitate FABER; operator date; drepturi persoane vizate","pagină legală principală","2026-04-11..2026-07-10","0","18","0","13.33","DE_VALIDAT_UMAN — export Ahrefs/Search Console Links necesar","DE_VALIDAT_UMAN — export analytics/CRM necesar","779 cuvinte; 11/11 H2 unice față de pereche: 1. Cine este operatorul de date | 2. Ce date colectăm | 3. Cum colectăm datele | 4. Scopurile prelucrării","23","https://atelierdeconsultanta.ro/politica-de-confidentialitate","self-canonical","15","8","7","indexabil local; în sitemap; GSC URL Inspection: DE_VALIDAT_UMAN","Politica de Confidențialitate | FABER","Politica de Confidențialitate","KEEP_PRIMARY","KEEP","Primește din /gdpr procedura de exercitare a drepturilor, termenele și istoricul unic, numai în forma aprobată juridic.","Modificarea legală înainte de validarea identității operatorului și avizul juristului poate publica informații neaprobate.","APROBARE_UMANĂ_NECESARĂ"
"privacy","/gdpr","variantă duplicată/rezumat GDPR și drepturi","GDPR FABER; drepturi date personale; solicitare acces/ștergere","pagină legală secundară","2026-04-11..2026-07-10","0","24","0","26.92","DE_VALIDAT_UMAN — export Ahrefs/Search Console Links necesar","DE_VALIDAT_UMAN — export analytics/CRM necesar","630 cuvinte; 8/8 H2 unice față de pereche: 🇪🇺 Ce este GDPR? | Certificate și Conformitate | 1. Principiile GDPR pe care le respectăm | 2. Drepturile tale conform GDPR","23","https://atelierdeconsultanta.ro/gdpr","self-canonical","11","2","7","indexabil local; în sitemap; GSC URL Inspection: DE_VALIDAT_UMAN","Politica GDPR | FABER – Atelier de Consultanță","Politica GDPR","MERGE_301_AFTER_LEGAL_APPROVAL","/politica-de-confidentialitate","Migrează orice procedură, canal pentru drepturi, termen sau istoric care este unic și aprobat; păstrează o singură informare legală.","Redirectul înaintea aprobării juridice poate elimina accidental o informare obligatorie sau poate consolida într-un text incomplet.","APROBARE_UMANĂ_NECESARĂ"
