case_id,gsc_reason,url,reported_status,initial_http_status,redirect_chain,final_url,declared_canonical,meta_robots,x_robots_tag,in_sitemap,internal_contextual_links,decision,action,result,verified_at,notes
redirect_error_1,Redirect error,,Validation started,,,,,,,,,pending_example_url,"Exportă exemplul exact din GSC; verifică lanțul live; aplică 301 direct către echivalentul semantic sau 410 dacă resursa este retrasă fără echivalent.",PENDING_GSC_EXAMPLE,,Exportul Coverage primit conține numai totalul categoriei.
redirect_error_2,Redirect error,,Validation started,,,,,,,,,pending_example_url,"Exportă exemplul exact din GSC; verifică lanțul live; aplică 301 direct către echivalentul semantic sau 410 dacă resursa este retrasă fără echivalent.",PENDING_GSC_EXAMPLE,,Exportul Coverage primit conține numai totalul categoriei.
redirect_error_3,Redirect error,,Validation started,,,,,,,,,pending_example_url,"Exportă exemplul exact din GSC; verifică lanțul live; aplică 301 direct către echivalentul semantic sau 410 dacă resursa este retrasă fără echivalent.",PENDING_GSC_EXAMPLE,,Exportul Coverage primit conține numai totalul categoriei.
noindex_1,Excluded by noindex tag,,Validation started,,,,,,,,,pending_example_url,"Exportă exemplul exact; păstrează noindex pentru o resursă tehnică sau elimină directiva HTML/header dacă URL-ul este o pagină publică canonică.",PENDING_GSC_EXAMPLE,,Intenția nu poate fi stabilită fără URL.
noindex_2,Excluded by noindex tag,,Validation started,,,,,,,,,pending_example_url,"Exportă exemplul exact; păstrează noindex pentru o resursă tehnică sau elimină directiva HTML/header dacă URL-ul este o pagină publică canonică.",PENDING_GSC_EXAMPLE,,Intenția nu poate fi stabilită fără URL.
duplicate_without_canonical_1,Duplicate without user-selected canonical,,Not started,,,,,,,,,pending_example_url,"Exportă exemplul exact; folosește 301 dacă este redundant sau self-canonical dacă pagina are o intenție distinctă și conținut unic.",PENDING_GSC_EXAMPLE,,Canonicalul ales de Google trebuie comparat cu semnalele locale și live.
crawled_not_indexed_1,Crawled - currently not indexed,,Not started,,,,,,,,,pending_example_url,"Exportă exemplul exact; confirmă 200, conținut unic, self-canonical, sitemap și minimum două linkuri contextuale înainte de cererea de indexare.",PENDING_GSC_EXAMPLE,,Nu se solicită indexarea înaintea verificării complete.
alternate_http_home_1,Alternate page with proper canonical tag,http://atelierdeconsultanta.ro/,Validation failed,301,"301 https://atelierdeconsultanta.ro/",https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/,index;follow,,no,0,redirect_protocol_variant,"Activează în Cloudflare un redirect permanent HTTP către aceeași cale HTTPS, cu păstrarea query-ului.",RESOLVED_CLOUDFLARE_WORKER,2026-07-20,"Exemplu confirmat din captura GSC; ultima accesare afișată: 5 iulie 2026. La verificarea inițială răspundea 200; Worker-ul Cloudflare activ răspunde acum 301 într-un singur hop."
redirect_search_placeholder_1,Page with redirect,https://atelierdeconsultanta.ro/?s={search_term_string},Validation failed,301,"301 https://atelierdeconsultanta.ro/",https://atelierdeconsultanta.ro/,https://atelierdeconsultanta.ro/,index;follow,,no,0,remove_legacy_search_discovery,"Păstrează SearchAction eliminat din schema publică și adaugă în Cloudflare un 301 către homepage fără parametrul s.",RESOLVED_CLOUDFLARE_WORKER,2026-07-20,"Exemplu confirmat din captura GSC; ultima accesare afișată: 11 iulie 2026. La verificarea inițială crawlerul primea 200; Worker-ul Cloudflare elimină acum query-ul printr-un singur 301."
redirect_calendar_slash_1,Page with redirect,https://atelierdeconsultanta.ro/calendar-fonduri-europene/,Validation failed,301,"301 https://atelierdeconsultanta.ro/calendar-fonduri-europene",https://atelierdeconsultanta.ro/calendar-fonduri-europene,https://atelierdeconsultanta.ro/calendar-fonduri-europene,index;follow,,no,0,keep_expected_canonical_redirect,"Nu modifica redirectul; păstrează aliasul cu slash în afara sitemap-ului și a linkurilor interne.",PASS_EXPECTED_REDIRECT,2026-07-20,"Exemplu confirmat din captura GSC; ultima accesare afișată: 11 iulie 2026. Excluderea Page with redirect este comportamentul corect pentru acest alias."
